,tweet_id,favorite_count,retweet_count
81,876838120628539392,20183,3248
82,876537666061221889,22973,4514
83,876484053909872640,18307,2326
84,876120275196170240,27266,4558
85,875747767867523072,24582,4175
86,875144289856114688,21414,4811
87,875097192612077568,26750,5899
88,875021211251597312,24882,4604
89,874680097055178752,27178,4528
90,874434818259525634,0,14339
91,874296783580663808,25456,4009
92,874057562936811520,22187,3856
93,874012996292530176,33750,10158
94,873580283840344065,23672,3844
95,873337748698140672,0,1549
96,873213775632977920,7074,1549
97,872967104147763200,26729,5288
98,872820683541237760,14411,3620
99,872620804844003328,20341,3616
100,872486979161796608,39841,8836
101,872122724285648897,33677,7968
102,871879754684805121,37143,10930
103,871762521631449091,19859,3413
104,871515927908634625,19799,3395
105,871166179821445120,0,5591
106,871102520638267392,20543,5412
107,871032628920680449,22257,3752
108,870804317367881728,33003,6101
109,870726314365509632,117,3
110,870656317836468226,12179,2598
111,870374049280663552,81303,25838
112,870308999962521604,21469,4092
113,870063196459192321,35991,8223
114,869772420881756160,41735,9901
115,869702957897576449,27777,6261
116,869596645499047938,15735,3101
117,869227993411051520,20155,3750
118,868880397819494401,64605,14309
119,868639477480148993,0,2069
120,868622495443632128,26356,5240
121,868552278524837888,9978,2069
122,867900495410671616,23863,4136
123,867774946302451713,33537,7274
124,867421006826221569,15916,2477
125,867072653475098625,0,119
126,867051520902168576,31855,7795
127,866720684873056260,19838,4774
128,866686824827068416,19064,3452
129,866450705531457537,120888,35080
130,866334964761202691,51973,14339
131,866094527597207552,0,8315
132,865718153858494464,25386,5588
133,865359393868664832,26203,4980
134,865006731092295680,27751,7656
135,864873206498414592,31996,8684
136,864279568663928832,14497,3016
137,864197398364647424,29879,8898
138,863907417377173506,20455,4125
139,863553081350529029,15198,4173
140,863471782782697472,0,2440
141,863432100342583297,23649,5230
142,863427515083354112,2241,96
143,863079547188785154,8719,1102
144,863062471531167744,8468,2440
145,862831371563274240,19065,5105
146,862722525377298433,16969,3525
147,862457590147678208,20397,4962
148,862096992088072192,74087,23302
149,861383897657036800,35965,10727
150,861288531465048066,17122,4171
151,861005113778896900,16649,3808
152,860981674716409858,0,2170
153,860924035999428608,0,820
154,860563773140209665,7492,2170
155,860524505164394496,23552,5314
156,860276583193509888,18263,3493
157,860184849394610176,16655,5893
158,860177593139703809,0,31078
159,859924526012018688,19519,4108
160,859851578198683649,15393,3536
161,859607811541651456,18581,1583
162,859196978902773760,89866,30438
163,859074603037188101,33871,13736
164,858860390427611136,0,8224
165,858843525470990336,15560,3516
166,858471635011153920,21539,4885
167,858107933456039936,15743,2928
168,857989990357356544,16163,2613
169,857746408056729600,34347,10776
170,857393404942143489,5921,1664
171,857263160327368704,20087,4576
172,857214891891077121,228,18
173,857062103051644929,0,173
174,857029823797047296,19001,4065
175,856602993587888130,0,10861
176,856543823941562368,16350,2928
177,856526610513747968,11903,1917
178,856330835276025856,0,689
179,856288084350160898,523,17
180,856282028240666624,27891,6444
181,855862651834028034,347,26
182,855860136149123072,5057,1044
183,855857698524602368,11944,2151
184,855851453814013952,45836,18101
185,855818117272018944,26815,5553
186,855459453768019968,30156,8386
187,855245323840757760,0,6112
